"","title","marks","clips","score"
"319","レフト ー恐怖物件ー","73","484","2.8"
"320","ザ・ビースト","210","327","2.8"
"321","グッドボタン　暴走する若者たち","423","84","2.9"
"322","ローズ島共和国 ～小さな島の大波乱～","237","247","3.6"
"323","カラミティ（仮題）","11","470","3.8"
"324","ヴァンパイアvsザ・ブロンクス","311","129","3.2"
"325","きまじめ楽隊のぼんやり戦争","10","414","4.1"
"326","オクトパスの神秘: 海の賢者は語る","214","147","4.2"
"327","警察と泥棒","185","101","3.7"
"328","トゥルーノース","44","218","4.1"
"329","私は決して泣かない","67","117","3.8"
"330","ブラック・クローラー","24","158","2.6"
"331","ミリオンダラー・スティーラー　史上最大の作戦","117","40","3.4"
"332","トレマーズ　地獄島","42","76","3.4"
"333","クレイジーズ 42日後","3","97","2.1"
"334","マジックに魅せられて","49","45","3.8"
"335","ウィジャ・シャーク　霊界サメ大戦","10","58","1.4"
"336","スプートニク","5","61","2.8"
"337","Slalom（原題）","2","27","3.3"
"338","Welcome to Chechnya（原題）","2","23","4.5"
"339","Recoding Entropia","18","4","2.6"
"340","前田建設ファンタジー営業部","3439","5615","3.8"
"341","耳をすませば","13","4042","-"
"342","十二単衣を着た悪魔","360","1780","3.4"
"343","映画 ギヴン","837","935","4.2"
"344","恋する遊園地","249","1442","3.5"
"345","スリープオーバー 夜の大冒険","1119","499","3.3"
"346","クローゼット","277","1286","3.5"
"347","リトル・サブカル・ウォーズ ～ヴィレヴァン！の逆襲～","186","1364","3.6"
"348","貴族降臨 PRINCE OF LEGEND","710","671","3.3"
"349","囀る鳥は羽ばたかない The clouds gather","496","858","3.8"
"350","マイ・ストーリー","590","748","4.1"
"351","Candyman（原題）","5","1302","3.0"
"352","グレイハウンド","524","780","3.6"
"353","殺人ホテル","1080","175","2.8"
"354","13月の女の子","260","988","3.7"
"355","燕 Yan","295","926","3.5"
"356","蒲田前奏曲","201","995","3.6"
"357","ウィロビー家の子どもたち","836","304","3.5"
"358","ザ・ターニング","131","976","2.8"
"359","ジングル・ジャングル 魔法のクリスマスギフト","641","348","3.5"
"360","コフィー＆カリーム","665","240","3.2"
"361","鹿の王","2","846","-"
"362","デスペラードス ～崖っぷち女子旅～","572","183","3.1"
"363","ルーブル美術館の夜 ―ダ・ヴィンチ没後500年展","150","580","3.7"
"364","デンジャラス・ライ","611","114","3.1"
"365","Run（原題）","50","650","3.6"
"366","Life線上の僕ら ディレクターズカット版","60","587","3.9"
"367","ロックンロール・ストリップ","117","524","3.5"
"368","The War with Grandpa（原題）","13","618","3.3"
"369","ファンタジー・アイランド","181","447","2.7"
"370","アトラクション -侵略-","189","437","3.0"
"371","コスメティック・ウォー　わたしたちがbossよ！","408","204","3.2"
"372","相撲道～サムライを継ぐ者たち～","189","312","3.9"
"373","悪は存在せず","87","413","3.7"
"374","ワインは期待と現実の味","273","189","3.6"
"375","海辺の彼女たち","34","407","3.9"
"376","カリフォルニア・クリスマス","298","99","3.4"
"377","アンオーソドックス －制作の舞台裏－","136","256","4.0"
"378","Days（英題）","116","212","3.6"
"379","AK-47 最強の銃　誕生の秘密","80","219","3.4"
"380","ボス・ベイビー: ベイビー株式会社を救え!","152","112","3.0"
"381","キス・ザ・グラウンド: 大地が救う地球の未来","101","156","4.2"
"382","イーブルアイ","152","102","2.8"
"383","ザ・シークレット:デア・トゥー・ドリーム","177","73","3.5"
"384","タイム","73","135","3.6"
"385","ストーカー 3日目の逆襲","72","125","3.1"
"386","ボブという名の猫2(仮)","7","180","3.3"
"387","French Exit（原題）","1","168","3.5"
"388","SAMJIN COMPANY ENGLISH CLASS（英題）","20","140","3.8"
"389","デヴィッド・アッテンボロー: 地球に暮らす生命","102","54","4.1"
"390","マ・レイニーのブラックボトムが映画になるまで","77","75","3.4"
"391","Voice of Silence(英題）","11","128","3.5"
"392","グッドバイ","9","110","3.6"
"393","エイリアンとの交信を追い求めて","79","33","3.2"
"394","ブーブル","77","33","3.2"
"395","DAU. Degeneration（英題）","5","105","3.3"
"396","GET SET GO","62","45","3.1"
"397","ワーキング・ガールズ","67","24","3.2"
"398","悪魔がみている","1","89","4.0"
"399","I Care a Lot（原題）","1","83","3.6"
"400","Pawn（英題）","7","68","4.2"
"401","タイム・ガーディアンズ 異界の魔女と時をかける少女","-","74","-"
"402","打姫オバカミーコ","9","63","2.9"
"403","この子をよろしく ～突然!? 育児トライアル～","42","14","3.4"
"404","狼をさがして","-","51","-"
"405","The Clark Sisters: First Ladies of Gospel（原題）","38","7","3.3"
"406","The Origin of the World（英題）","-","27","-"
"407","忘れられた神様","-","23","-"
"408","French Tech（英題）","-","14","-"
"409","Red Soil（英題）","-","9","-"
"410","Garcon chiffon（原題）","-","9","-"
"411","Cowboys（原題）","1","8","2.5"
"412","The Speech（英題）","-","5","-"
"413","Vaurien（原題）","-","4","-"
"414","Broken Keys（原題）","-","4","-"
"415","Ibrahim（原題）","-","4","-"
"416","Souad（原題）","-","4","-"
"417","Striding with the Wind（英題）","-","2","-"
"418","The Death of Cinema and My Father Too（原題）","-","2","-"
"419","ぼくらベアベアーズ　ザ・ムービー","1","1","-"
"420","人数の町","1234","3725","3.4"
"421","カメラを止めるな！リモート大作戦！","2987","1137","3.5"
"422","破壊の日","816","2938","3.5"
"423","8日で死んだ怪獣の12日の物語","477","2309","3.4"
"424","みをつくし料理帖","746","1889","3.6"
"425","アルテミスと妖精の身代金","514","2038","2.8"
"426","ブラッドショット","1241","1272","3.5"
"427","僕のミッシー","1675","469","3.3"
"428","劇場版 Fate/Grand Order -神聖円卓領域キャメロット- Wandering; Agateram","935","1038","3.2"
"429","星屑の町","588","1279","3.4"
"430","トロールズ ミュージック★パワー","615","1183","3.7"
"431","BREAK THE SILENCE: THE MOVIE","1275","471","4.3"
"432","ホース・ガール","834","873","3.2"
"433","ヒュービーのハロウィーン","1316","372","3.3"
"434","10万分の1","288","1292","3.3"
"435","劇場版 仮面ライダーゼロワン REAL×TIME","941","525","4.1"
"436","精神0","399","1051","3.9"
"437","水上のフライト","425","974","3.7"
"438","ロストガールズ","1047","345","3.1"
"439","うたのはじまり","271","890","4.2"
"440","The Green Knight（原題）","-","1138","-"
"441","きょうのできごと a day in the home","366","765","3.4"
"442","トランスジェンダーとハリウッド: 過去、現在、そして","504","615","4.2"
"443","恋するけだもの","196","914","3.9"
"444","ビューティフル ドリーマー","255","841","3.3"
"445","Reframe THEATER EXPERIENCE with you","659","354","4.3"
"446","Wonderland（英題）","1","1008","-"
"447","The Secret Garden（原題）","17","985","3.4"
"448","The Nightingale（原題）","1","937","-"
"449","Without Remorse（原題）","1","928","-"
"450","ザ・バンカー","188","729","3.8"
"451","ヘイター","412","468","3.5"
"452","ポゼッサー","149","713","3.5"
"453","日本独立","120","712","3.1"
"454","Last Lover ラストラバー","109","709","3.5"
"455","わたしは分断を許さない","148","664","3.9"
"456","オルタード・カーボン：リスリーブド","640","172","3.5"
"457","ナイト・ウォッチャー","302","447","3.1"
"458","The Croods: A New Age（原題）","17","730","3.9"
"459","大怪獣のあとしまつ","-","710","-"
"460","Relic（原題）","38","663","3.3"
"461","おかえり　ただいま","93","602","2.9"
"462","いまだったら言える気がする","137","529","3.4"
"463","アンチ・ライフ","134","513","2.6"
"464","The Roads Not Taken（原題）","5","607","2.7"
"465","映画館にいく日","264","339","3.3"
"466","サイケな世界 ～スターが語る幻覚体験～","470","114","3.7"
"467","Kajillionaire（原題）","20","541","4.0"
"468","フェアリー・ゴッドマザー","288","253","3.6"
"469","八王子ゾンビーズ","139","388","3.1"
"470","劇場版ウルトラマンタイガ ニュージェネクライマックス","343","164","3.6"
"471","恐竜超伝説　劇場版ダーウィンが来た！","288","210","3.4"
"472","KING OF PRISM ALL STARS プリズムショー☆ベストテン","391","98","4.5"
"473","香港画","169","319","3.9"
"474","スカイ・シャーク","4","482","3.8"
"475","都会のトム＆ソーヤ","2","483","-"
