title,score
Greenland（原題）,3.2
失墜,3.0
ママは世直しヒーロー,2.9
東京バタフライ,3.6
愛のまなざしを,-
死神遣いの事件帖 -傀儡夜曲-,3.5
カリフォルニア・クリスマス,3.4
パラメディック －闇の救急救命士－,3.0
キューティーズ！,3.2
新卒ポモドーロ,4.0
真夜中のマグノリアで,3.4
シネマ歌舞伎　三谷かぶき　月光露針路日本　風雲児たち,4.0
After Yang（原題）,-
Infinite（原題）,-
クローゼット,3.7
あざみさんのこと 誰でもない恋人たちの風景vol.2,3.6
Words on Bathroom Walls（原題）,4.1
HoneyWorks 10th Anniversary “LIP×LIP FILM×LIVE”,3.6
たぶん,3.3
Shirley（原題）,3.9
いとみち,-
アイム・ユア・ウーマン,3.5
ボス・ベイビー: ベイビー株式会社を救え!,3.0
ボーイズ・ステイト,4.1
Viena and the Fantomes（原題）,2.0
ヴァンガード／急先鋒,3.1
ローグ・シティ,3.0
イーブルアイ,2.8
Naked Singularity（原題）,-
甲子園：フィールド・オブ・ドリームス,4.0
ザ・シークレット:デア・トゥー・ドリーム,3.5
LEGO スター・ウォーズ／ホリデー・スペシャル,3.7
ブラック・イズ・キング,3.9
The World to Come（原題）,3.0
死ぬ間際,3.5
The Pirates: Goblin Flag（英題）,-
タイム,3.6
名探偵ティミー,3.5
デリート・ヒストリー,3.5
ボブという名の猫2(仮),3.3
私は決して泣かない,3.8
Disclosure: Trans Lives on Screen（原題）,4.3
花と沼,4.1
サイレント・ウォーター,2.8
Saint Laurent - Summer of '21（原題）,3.6
Gagarine（原題）,3.8
戦国ガールと剣道ボーイ,-
Dragon Rider（原題）,-
Come Away（原題）,2.7
シントイア・ブラウン: 裁きと赦し,3.5
リッチョーネの日差しの下で,3.4
ペーパー・ハウス: 人気の秘密に迫る,3.9
Come Play（原題）,3.1
愛しの故郷,3.4
Psycho Goreman（原題）,3.9
LUDO ～4つの物語～,3.9
水俣曼荼羅,4.8
Good Joe Bell（原題）,3.8
七人楽隊,3.8
DAU. Degeneration（英題）,3.3
ブーブル,3.2
生きている,3.2
もとめたせい,3.7
コロナウイルス　感染者,2.0
エクスペリメント・アット・セントレオナルズ女子刑務所,2.4
キリング・マシーン,3.2
宇宙戦艦ヤマト2205 新たなる旅立ち,-
悪魔がみている,4.0
ムーラン 美しき英雄,2.4
イエローキャット,3.7
I Care a Lot（原題）,3.6
サイレンシング,3.0
DNA（英題）,2.0
デイ・オブ・ザ・ロード,2.8
Le prince oublié（原題）,3.5
打姫オバカミーコ,2.9
タネは誰のもの,3.9
Summerland（原題）,3.6
かくも長き道のり,3.7
Heaven: To The Land of Happiness（英題）,-
City Hall（原題）,-
最後の入浴,3.5
ノートブック －愛するあなたへ－,3.5
ローズメイカー 奇跡のバラ,3.0
CHAIN,-
Passion simple（原題）,2.0
プレイヤー ～浮気男のラプソディ～,2.9
チャイニーズ・ゴースト・ストーリー,3.3
アネルカ: 天才プレーヤーの素顔,3.7
Collectors（英題）,3.2
蛋ヶ岳学会事件,2.7
タイガーハンター　水滸外伝,3.5
The Clark Sisters: First Ladies of Gospel（原題）,3.3
モンスターランナー 怪物大戦争,-
忘れたくないのに定かじゃない,2.6
The Wolf of Snow Hollow（原題）,4.0
劇場版　田園ボーイズ,3.0
TUBE チューブ　死の脱出,2.8
結びの島,2.8
Sun Children（原題）,3.9
S.A.S.特殊空挺部隊 史上最悪の極秘空輸ミッション,2.8
ビハインド・ユー　－その「何か」は、鏡の中にいる－,2.8
凱歌,3.9
Cosmetic DNA,3.7
アブノーマル・ロデオ・ブルース,3.2
The Kid Detective（原題）,3.1
されど吉祥とする,3.5
カミヤ・モブリー -私の母は誘拐犯-,3.0
John and the Hole（原題）,3.8
Forgotten We'll Be（英題）,3.5
さよなら2020年,3.6
Debt Collectors（原題）,3.2
Slalom（原題）,3.3
ザ・ラーバ・アイランド・ムービー,2.8
The Origin of the World（英題）,-
ワールズエンドファンクラブLP,2.5
I Don’t Fire Myself（英題）,-
Kay,-
短篇集 さりゆくもの,-
Mr.&Mrs.スパイ G,2.6
同級生マイナス,-
西遊記　孫悟空vsスパイダー・ウーマン,2.6
De Gaulle（原題）,3.1
One Night in Bangkok（原題）,2.8
The Metamorphosis of Birds（英題）,1.5
泣いたことがないなんて、嘘つきめ,-
Enfant Terrible（原題）,-
French Tech（英題）,-
All the Dead Ones（英題）,2.0
性春まみれ,3.4
10 jours sans maman（原題）,-
Embattled（原題）,2.3
P1H：新しい世界の始まり,-
Adverse（原題）,-
ドリームキャッチャー　呪われた魔除け,-
Some Kind of Heaven（原題）,-
Garcon chiffon（原題）,-
七つの大罪クラブ 生贄になった少女たち,-
Ghost in you,3.0
静謐と夕暮,4.0
Memory House（原題）,2.0
The Speech（英題）,-
ドラゴン・スクワッド,-
Vaurien（原題）,-
Broken Keys（原題）,-
Ibrahim（原題）,-
Souad（原題）,-
「銀河自転車の夜2019」 最終章,4.3
Night of the Kings（英題）,3.0
Striding with the Wind（英題）,-
The Death of Cinema and My Father Too（原題）,-
ぼくらベアベアーズ　ザ・ムービー,-
Back to the Wharf（英題）,-
HOKUSAI,3.4
Minamata（原題）,-
星屑の町,3.4
トロールズ ミュージック★パワー,3.7
スリープオーバー 夜の大冒険,3.3
フェイフェイと月の冒険,3.3
COMPLY+-ANCE コンプライアンス,3.4
ボーイズ・イン・ザ・バンド,3.6
ゴリラのアイヴァン,3.6
燕 Yan,3.5
銃2020,3.0
特別上映版「はたらく細胞!!」最強の敵、再び。体の中は“腸”大騒ぎ！,3.5
日本沈没2020 劇場編集版 シズマヌキボウ,3.0
僕は猟師になった,3.9
ザ・バンカー,3.8
グリーン・ランタン（原題）,4.0
鹿の王,-
オルタード・カーボン：リスリーブド,3.5
弱虫スクービーの大冒険,3.4
君は彼方,2.2
呪われの橋,3.2
デスペラードス 〜崖っぷち女子旅〜,3.1
Untitled Mike Mills Project（原題）,-
ナイト・ウォッチャー,3.1
Relic（原題）,3.3
ゴブリンスレイヤー GOBLIN'S CROWN,3.2
妖怪人間ベラ,3.3
The Stunt Double（原題）,3.7
がんばれいわ!!ロボコン ウララ〜！恋する汁なしタンタンメン!!の巻,3.3
サイボーグ（原題）,-
ファンファーレが鳴り響く,3.3
The Roads Not Taken（原題）,2.7
「進撃の巨人」〜クロニクル〜,3.8
劇場版 騎士龍戦隊リュウソウジャーVSルパンレンジャーVSパトレンジャー,3.9
ATEOTD,3.6
記憶の技法,3.3
機内モードな私,3.3
STAND STRONG,3.1
あるメイドの秘密,3.3
ラストデイズ・オブ・アメリカン・クライム,2.6
ママをやめてもいいですか!?,3.8
昼下がりの甘いパイ,3.4
八王子ゾンビーズ,3.1
Inheritance（原題）,2.9
相撲道～サムライを継ぐ者たち～,3.9
アース・フォール JIU JITSU,2.9
その男、東京につき,3.9
Shadow in the Cloud（原題）,2.2
ロストベイベーロスト,3.5
クリスマスドロップ作戦 ～南の島に降る奇跡～,3.4
イズィ&オズィ,3.5
The Tomorrow War（原題）,-
Gretel & Hansel（原題）,2.9
少女☆歌劇 レヴュー・スタァライト 再生産総集編 ロンド・ロンド・ロンド,4.1
ワインは期待と現実の味,3.6
Love and Monsters（英題）,3.4
Three Thousand Years of Longing（原題）,-
Let Them All Talk（原題）,2.8
Dating Amber（原題）,4.0
Malignant（原題）,-
皮膚を売った男,3.8
劇場版 Gのレコンギスタ II ベルリ撃進,3.8
Misbehaviour（原題）,3.6
別れる前にしておくべき10のこと,2.5
The King of Staten Island（原題）,3.6
The Comeback Trail（原題）,2.0
レディ・トゥ・レディ,3.7
Mob Girl（原題）,-
アンオーソドックス －制作の舞台裏－,4.0
映画 ふしぎ駄菓子屋　銭天堂,3.1
実りゆく,3.5
ブラック・ビューティー,3.6
劇場版 BEM ～BECOME HUMAN～,3.4
New Order（英題）,3.6
不夜城の男,3.6
